12 months ending,Police force area,Region,Offence,Rolling year total number of offences
30/06/2015,Bedfordshire,East,All other theft offences,4831
30/06/2015,Bedfordshire,East,Bicycle theft,922
30/06/2015,Bedfordshire,East,Criminal damage and arson,5583
30/06/2015,Bedfordshire,East,Death or serious injury caused by illegal driving,5
30/06/2015,Bedfordshire,East,Domestic burglary,2961
30/06/2015,Bedfordshire,East,Drug offences,1230
30/06/2015,Bedfordshire,East,Homicide,2
30/06/2015,Bedfordshire,East,Miscellaneous crimes against society,598
30/06/2015,Bedfordshire,East,Non-domestic burglary,1965
30/06/2015,Bedfordshire,East,Non-residential burglary,
30/06/2015,Bedfordshire,East,Possession of weapons offences,332
30/06/2015,Bedfordshire,East,Public order offences,1654
30/06/2015,Bedfordshire,East,Residential burglary,
30/06/2015,Bedfordshire,East,Robbery,536
30/06/2015,Bedfordshire,East,Sexual offences,886
30/06/2015,Bedfordshire,East,Shoplifting,3283
30/06/2015,Bedfordshire,East,Stalking and harassment,1706
30/06/2015,Bedfordshire,East,Theft from the person,397
30/06/2015,Bedfordshire,East,Vehicle offences,4586
30/06/2015,Bedfordshire,East,Violence with injury,4414
30/06/2015,Bedfordshire,East,Violence without injury,3505
30/06/2015,British Transport Police,British Transport Police,All other theft offences,8356
30/06/2015,British Transport Police,British Transport Police,Bicycle theft,4969
30/06/2015,British Transport Police,British Transport Police,Criminal damage and arson,4773
30/06/2015,British Transport Police,British Transport Police,Death or serious injury caused by illegal driving,1
30/06/2015,British Transport Police,British Transport Police,Domestic burglary,0
30/06/2015,British Transport Police,British Transport Police,Drug offences,2032
30/06/2015,British Transport Police,British Transport Police,Homicide,2
30/06/2015,British Transport Police,British Transport Police,Miscellaneous crimes against society,747
30/06/2015,British Transport Police,British Transport Police,Non-domestic burglary,428
30/06/2015,British Transport Police,British Transport Police,Non-residential burglary,
30/06/2015,British Transport Police,British Transport Police,Possession of weapons offences,360
30/06/2015,British Transport Police,British Transport Police,Public order offences,6518
30/06/2015,British Transport Police,British Transport Police,Residential burglary,
30/06/2015,British Transport Police,British Transport Police,Robbery,328
30/06/2015,British Transport Police,British Transport Police,Sexual offences,1142
30/06/2015,British Transport Police,British Transport Police,Shoplifting,1980
30/06/2015,British Transport Police,British Transport Police,Stalking and harassment,86
30/06/2015,British Transport Police,British Transport Police,Theft from the person,5178
30/06/2015,British Transport Police,British Transport Police,Vehicle offences,879
30/06/2015,British Transport Police,British Transport Police,Violence with injury,2197
30/06/2015,British Transport Police,British Transport Police,Violence without injury,4495
30/06/2015,Cambridgeshire,East,All other theft offences,6323
30/06/2015,Cambridgeshire,East,Bicycle theft,3861
30/06/2015,Cambridgeshire,East,Criminal damage and arson,6524
30/06/2015,Cambridgeshire,East,Death or serious injury caused by illegal driving,15
30/06/2015,Cambridgeshire,East,Domestic burglary,2255
30/06/2015,Cambridgeshire,East,Drug offences,2080
30/06/2015,Cambridgeshire,East,Homicide,7
30/06/2015,Cambridgeshire,East,Miscellaneous crimes against society,683
30/06/2015,Cambridgeshire,East,Non-domestic burglary,2970
30/06/2015,Cambridgeshire,East,Non-residential burglary,
30/06/2015,Cambridgeshire,East,Possession of weapons offences,248
30/06/2015,Cambridgeshire,East,Public order offences,1722
30/06/2015,Cambridgeshire,East,Residential burglary,
30/06/2015,Cambridgeshire,East,Robbery,503
30/06/2015,Cambridgeshire,East,Sexual offences,1241
30/06/2015,Cambridgeshire,East,Shoplifting,3990
30/06/2015,Cambridgeshire,East,Stalking and harassment,710
30/06/2015,Cambridgeshire,East,Theft from the person,780
30/06/2015,Cambridgeshire,East,Vehicle offences,4059
30/06/2015,Cambridgeshire,East,Violence with injury,4017
30/06/2015,Cambridgeshire,East,Violence without injury,4767
30/06/2015,Cheshire,North West,All other theft offences,5872
30/06/2015,Cheshire,North West,Bicycle theft,1454
30/06/2015,Cheshire,North West,Criminal damage and arson,8472
30/06/2015,Cheshire,North West,Death or serious injury caused by illegal driving,5
30/06/2015,Cheshire,North West,Domestic burglary,2361
30/06/2015,Cheshire,North West,Drug offences,2685
30/06/2015,Cheshire,North West,Homicide,3
30/06/2015,Cheshire,North West,Miscellaneous crimes against society,1022
30/06/2015,Cheshire,North West,Non-domestic burglary,3328
30/06/2015,Cheshire,North West,Non-residential burglary,
30/06/2015,Cheshire,North West,Possession of weapons offences,285
30/06/2015,Cheshire,North West,Public order offences,2486
30/06/2015,Cheshire,North West,Residential burglary,
30/06/2015,Cheshire,North West,Robbery,249
30/06/2015,Cheshire,North West,Sexual offences,1312
30/06/2015,Cheshire,North West,Shoplifting,6110
30/06/2015,Cheshire,North West,Stalking and harassment,810
30/06/2015,Cheshire,North West,Theft from the person,1019
30/06/2015,Cheshire,North West,Vehicle offences,4314
30/06/2015,Cheshire,North West,Violence with injury,5481
30/06/2015,Cheshire,North West,Violence without injury,5850
30/06/2015,CIFAS,Fraud: CIFAS,CIFAS,266701
30/06/2015,City of London,London,All other theft offences,1661
30/06/2015,City of London,London,Bicycle theft,353
30/06/2015,City of London,London,Criminal damage and arson,217
30/06/2015,City of London,London,Death or serious injury caused by illegal driving,3
30/06/2015,City of London,London,Domestic burglary,28
30/06/2015,City of London,London,Drug offences,401
30/06/2015,City of London,London,Homicide,1
30/06/2015,City of London,London,Miscellaneous crimes against society,167
30/06/2015,City of London,London,Non-domestic burglary,220
30/06/2015,City of London,London,Non-residential burglary,
30/06/2015,City of London,London,Possession of weapons offences,27
30/06/2015,City of London,London,Public order offences,223
30/06/2015,City of London,London,Residential burglary,
30/06/2015,City of London,London,Robbery,33
30/06/2015,City of London,London,Sexual offences,69
30/06/2015,City of London,London,Shoplifting,630
30/06/2015,City of London,London,Stalking and harassment,86
30/06/2015,City of London,London,Theft from the person,428
30/06/2015,City of London,London,Vehicle offences,186
30/06/2015,City of London,London,Violence with injury,357
30/06/2015,City of London,London,Violence without injury,296
30/06/2015,Cleveland,North East,All other theft offences,5381
30/06/2015,Cleveland,North East,Bicycle theft,1084
30/06/2015,Cleveland,North East,Criminal damage and arson,8524
30/06/2015,Cleveland,North East,Death or serious injury caused by illegal driving,7
30/06/2015,Cleveland,North East,Domestic burglary,2441
30/06/2015,Cleveland,North East,Drug offences,1606
30/06/2015,Cleveland,North East,Homicide,5
30/06/2015,Cleveland,North East,Miscellaneous crimes against society,518
30/06/2015,Cleveland,North East,Non-domestic burglary,2766
30/06/2015,Cleveland,North East,Non-residential burglary,
30/06/2015,Cleveland,North East,Possession of weapons offences,269
30/06/2015,Cleveland,North East,Public order offences,1923
30/06/2015,Cleveland,North East,Residential burglary,
30/06/2015,Cleveland,North East,Robbery,324
30/06/2015,Cleveland,North East,Sexual offences,983
30/06/2015,Cleveland,North East,Shoplifting,6010
30/06/2015,Cleveland,North East,Stalking and harassment,763
30/06/2015,Cleveland,North East,Theft from the person,361
30/06/2015,Cleveland,North East,Vehicle offences,3095
30/06/2015,Cleveland,North East,Violence with injury,4415
30/06/2015,Cleveland,North East,Violence without injury,3571
30/06/2015,Cumbria,North West,All other theft offences,3035
30/06/2015,Cumbria,North West,Bicycle theft,414
30/06/2015,Cumbria,North West,Criminal damage and arson,5147
30/06/2015,Cumbria,North West,Death or serious injury caused by illegal driving,9
30/06/2015,Cumbria,North West,Domestic burglary,748
30/06/2015,Cumbria,North West,Drug offences,1313
30/06/2015,Cumbria,North West,Homicide,8
30/06/2015,Cumbria,North West,Miscellaneous crimes against society,475
30/06/2015,Cumbria,North West,Non-domestic burglary,1286
30/06/2015,Cumbria,North West,Non-residential burglary,
30/06/2015,Cumbria,North West,Possession of weapons offences,157
30/06/2015,Cumbria,North West,Public order offences,1742
30/06/2015,Cumbria,North West,Residential burglary,
30/06/2015,Cumbria,North West,Robbery,63
30/06/2015,Cumbria,North West,Sexual offences,781
30/06/2015,Cumbria,North West,Shoplifting,2425
30/06/2015,Cumbria,North West,Stalking and harassment,799
30/06/2015,Cumbria,North West,Theft from the person,114
30/06/2015,Cumbria,North West,Vehicle offences,1155
30/06/2015,Cumbria,North West,Violence with injury,3193
30/06/2015,Cumbria,North West,Violence without injury,2861
30/06/2015,Derbyshire,East Midlands,All other theft offences,6443
30/06/2015,Derbyshire,East Midlands,Bicycle theft,1010
30/06/2015,Derbyshire,East Midlands,Criminal damage and arson,8196
30/06/2015,Derbyshire,East Midlands,Death or serious injury caused by illegal driving,20
30/06/2015,Derbyshire,East Midlands,Domestic burglary,2649
30/06/2015,Derbyshire,East Midlands,Drug offences,2545
30/06/2015,Derbyshire,East Midlands,Homicide,7
30/06/2015,Derbyshire,East Midlands,Miscellaneous crimes against society,761
30/06/2015,Derbyshire,East Midlands,Non-domestic burglary,4019
30/06/2015,Derbyshire,East Midlands,Non-residential burglary,
30/06/2015,Derbyshire,East Midlands,Possession of weapons offences,389
30/06/2015,Derbyshire,East Midlands,Public order offences,1298
30/06/2015,Derbyshire,East Midlands,Residential burglary,
30/06/2015,Derbyshire,East Midlands,Robbery,506
30/06/2015,Derbyshire,East Midlands,Sexual offences,1397
30/06/2015,Derbyshire,East Midlands,Shoplifting,5922
30/06/2015,Derbyshire,East Midlands,Stalking and harassment,1028
30/06/2015,Derbyshire,East Midlands,Theft from the person,562
30/06/2015,Derbyshire,East Midlands,Vehicle offences,5794
30/06/2015,Derbyshire,East Midlands,Violence with injury,6293
30/06/2015,Derbyshire,East Midlands,Violence without injury,3199
30/06/2015,Devon and Cornwall,South West,All other theft offences,10382
30/06/2015,Devon and Cornwall,South West,Bicycle theft,1029
30/06/2015,Devon and Cornwall,South West,Criminal damage and arson,13216
30/06/2015,Devon and Cornwall,South West,Death or serious injury caused by illegal driving,21
30/06/2015,Devon and Cornwall,South West,Domestic burglary,2735
30/06/2015,Devon and Cornwall,South West,Drug offences,3837
30/06/2015,Devon and Cornwall,South West,Homicide,14
30/06/2015,Devon and Cornwall,South West,Miscellaneous crimes against society,1218
30/06/2015,Devon and Cornwall,South West,Non-domestic burglary,3658
30/06/2015,Devon and Cornwall,South West,Non-residential burglary,
30/06/2015,Devon and Cornwall,South West,Possession of weapons offences,529
30/06/2015,Devon and Cornwall,South West,Public order offences,4428
30/06/2015,Devon and Cornwall,South West,Residential burglary,
30/06/2015,Devon and Cornwall,South West,Robbery,389
30/06/2015,Devon and Cornwall,South West,Sexual offences,2760
30/06/2015,Devon and Cornwall,South West,Shoplifting,7597
30/06/2015,Devon and Cornwall,South West,Stalking and harassment,2047
30/06/2015,Devon and Cornwall,South West,Theft from the person,750
30/06/2015,Devon and Cornwall,South West,Vehicle offences,4658
30/06/2015,Devon and Cornwall,South West,Violence with injury,11076
30/06/2015,Devon and Cornwall,South West,Violence without injury,9224
30/06/2015,Dorset,South West,All other theft offences,5144
30/06/2015,Dorset,South West,Bicycle theft,1162
30/06/2015,Dorset,South West,Criminal damage and arson,5810
30/06/2015,Dorset,South West,Death or serious injury caused by illegal driving,4
30/06/2015,Dorset,South West,Domestic burglary,1400
30/06/2015,Dorset,South West,Drug offences,1724
30/06/2015,Dorset,South West,Homicide,6
30/06/2015,Dorset,South West,Miscellaneous crimes against society,292
30/06/2015,Dorset,South West,Non-domestic burglary,3037
30/06/2015,Dorset,South West,Non-residential burglary,
30/06/2015,Dorset,South West,Possession of weapons offences,194
30/06/2015,Dorset,South West,Public order offences,1064
30/06/2015,Dorset,South West,Residential burglary,
30/06/2015,Dorset,South West,Robbery,169
30/06/2015,Dorset,South West,Sexual offences,1061
30/06/2015,Dorset,South West,Shoplifting,3922
30/06/2015,Dorset,South West,Stalking and harassment,925
30/06/2015,Dorset,South West,Theft from the person,422
30/06/2015,Dorset,South West,Vehicle offences,3741
30/06/2015,Dorset,South West,Violence with injury,4134
30/06/2015,Dorset,South West,Violence without injury,3092
30/06/2015,Durham,North East,All other theft offences,4097
30/06/2015,Durham,North East,Bicycle theft,544
30/06/2015,Durham,North East,Criminal damage and arson,6698
30/06/2015,Durham,North East,Death or serious injury caused by illegal driving,5
30/06/2015,Durham,North East,Domestic burglary,1278
30/06/2015,Durham,North East,Drug offences,1344
30/06/2015,Durham,North East,Homicide,2
30/06/2015,Durham,North East,Miscellaneous crimes against society,516
30/06/2015,Durham,North East,Non-domestic burglary,2586
30/06/2015,Durham,North East,Non-residential burglary,
30/06/2015,Durham,North East,Possession of weapons offences,220
30/06/2015,Durham,North East,Public order offences,1157
30/06/2015,Durham,North East,Residential burglary,
30/06/2015,Durham,North East,Robbery,90
30/06/2015,Durham,North East,Sexual offences,1001
30/06/2015,Durham,North East,Shoplifting,3527
30/06/2015,Durham,North East,Stalking and harassment,473
30/06/2015,Durham,North East,Theft from the person,180
30/06/2015,Durham,North East,Vehicle offences,2571
30/06/2015,Durham,North East,Violence with injury,3826
30/06/2015,Durham,North East,Violence without injury,2502
30/06/2015,Dyfed-Powys,Wales,All other theft offences,2448
30/06/2015,Dyfed-Powys,Wales,Bicycle theft,190
30/06/2015,Dyfed-Powys,Wales,Criminal damage and arson,3601
30/06/2015,Dyfed-Powys,Wales,Death or serious injury caused by illegal driving,10
30/06/2015,Dyfed-Powys,Wales,Domestic burglary,564
30/06/2015,Dyfed-Powys,Wales,Drug offences,2656
30/06/2015,Dyfed-Powys,Wales,Homicide,3
30/06/2015,Dyfed-Powys,Wales,Miscellaneous crimes against society,360
30/06/2015,Dyfed-Powys,Wales,Non-domestic burglary,742
30/06/2015,Dyfed-Powys,Wales,Non-residential burglary,
30/06/2015,Dyfed-Powys,Wales,Possession of weapons offences,118
30/06/2015,Dyfed-Powys,Wales,Public order offences,845
30/06/2015,Dyfed-Powys,Wales,Residential burglary,
30/06/2015,Dyfed-Powys,Wales,Robbery,28
30/06/2015,Dyfed-Powys,Wales,Sexual offences,815
30/06/2015,Dyfed-Powys,Wales,Shoplifting,1378
30/06/2015,Dyfed-Powys,Wales,Stalking and harassment,261
30/06/2015,Dyfed-Powys,Wales,Theft from the person,57
30/06/2015,Dyfed-Powys,Wales,Vehicle offences,916
30/06/2015,Dyfed-Powys,Wales,Violence with injury,2534
30/06/2015,Dyfed-Powys,Wales,Violence without injury,2121
30/06/2015,Essex,East,All other theft offences,12022
30/06/2015,Essex,East,Bicycle theft,2226
30/06/2015,Essex,East,Criminal damage and arson,13776
30/06/2015,Essex,East,Death or serious injury caused by illegal driving,27
30/06/2015,Essex,East,Domestic burglary,6925
30/06/2015,Essex,East,Drug offences,3510
30/06/2015,Essex,East,Homicide,12
30/06/2015,Essex,East,Miscellaneous crimes against society,1278
30/06/2015,Essex,East,Non-domestic burglary,6266
30/06/2015,Essex,East,Non-residential burglary,
30/06/2015,Essex,East,Possession of weapons offences,909
30/06/2015,Essex,East,Public order offences,4045
30/06/2015,Essex,East,Residential burglary,
30/06/2015,Essex,East,Robbery,943
30/06/2015,Essex,East,Sexual offences,2543
30/06/2015,Essex,East,Shoplifting,9124
30/06/2015,Essex,East,Stalking and harassment,2948
30/06/2015,Essex,East,Theft from the person,1278
30/06/2015,Essex,East,Vehicle offences,12314
30/06/2015,Essex,East,Violence with injury,10347
30/06/2015,Essex,East,Violence without injury,10351
30/06/2015,Gloucestershire,South West,All other theft offences,4278
30/06/2015,Gloucestershire,South West,Bicycle theft,1003
30/06/2015,Gloucestershire,South West,Criminal damage and arson,4654
30/06/2015,Gloucestershire,South West,Death or serious injury caused by illegal driving,4
30/06/2015,Gloucestershire,South West,Domestic burglary,2040
30/06/2015,Gloucestershire,South West,Drug offences,950
30/06/2015,Gloucestershire,South West,Homicide,8
30/06/2015,Gloucestershire,South West,Miscellaneous crimes against society,326
30/06/2015,Gloucestershire,South West,Non-domestic burglary,2772
30/06/2015,Gloucestershire,South West,Non-residential burglary,
30/06/2015,Gloucestershire,South West,Possession of weapons offences,135
30/06/2015,Gloucestershire,South West,Public order offences,657
30/06/2015,Gloucestershire,South West,Residential burglary,
30/06/2015,Gloucestershire,South West,Robbery,250
30/06/2015,Gloucestershire,South West,Sexual offences,686
30/06/2015,Gloucestershire,South West,Shoplifting,3486
30/06/2015,Gloucestershire,South West,Stalking and harassment,288
30/06/2015,Gloucestershire,South West,Theft from the person,266
30/06/2015,Gloucestershire,South West,Vehicle offences,2832
30/06/2015,Gloucestershire,South West,Violence with injury,3325
30/06/2015,Gloucestershire,South West,Violence without injury,1678
30/06/2015,Greater Manchester,North West,All other theft offences,26742
30/06/2015,Greater Manchester,North West,Bicycle theft,4560
30/06/2015,Greater Manchester,North West,Criminal damage and arson,31266
30/06/2015,Greater Manchester,North West,Death or serious injury caused by illegal driving,18
30/06/2015,Greater Manchester,North West,Domestic burglary,15652
30/06/2015,Greater Manchester,North West,Drug offences,6003
30/06/2015,Greater Manchester,North West,Homicide,36
30/06/2015,Greater Manchester,North West,Miscellaneous crimes against society,3330
30/06/2015,Greater Manchester,North West,Non-domestic burglary,12209
30/06/2015,Greater Manchester,North West,Non-residential burglary,
30/06/2015,Greater Manchester,North West,Possession of weapons offences,1324
30/06/2015,Greater Manchester,North West,Public order offences,10715
30/06/2015,Greater Manchester,North West,Residential burglary,
30/06/2015,Greater Manchester,North West,Robbery,3492
30/06/2015,Greater Manchester,North West,Sexual offences,5304
30/06/2015,Greater Manchester,North West,Shoplifting,16420
30/06/2015,Greater Manchester,North West,Stalking and harassment,5439
30/06/2015,Greater Manchester,North West,Theft from the person,5378
30/06/2015,Greater Manchester,North West,Vehicle offences,22507
30/06/2015,Greater Manchester,North West,Violence with injury,19668
30/06/2015,Greater Manchester,North West,Violence without injury,19598
30/06/2015,Gwent,Wales,All other theft offences,4705
30/06/2015,Gwent,Wales,Bicycle theft,457
30/06/2015,Gwent,Wales,Criminal damage and arson,6664
30/06/2015,Gwent,Wales,Death or serious injury caused by illegal driving,7
30/06/2015,Gwent,Wales,Domestic burglary,1548
30/06/2015,Gwent,Wales,Drug offences,1822
30/06/2015,Gwent,Wales,Homicide,6
30/06/2015,Gwent,Wales,Miscellaneous crimes against society,593
30/06/2015,Gwent,Wales,Non-domestic burglary,2625
30/06/2015,Gwent,Wales,Non-residential burglary,
30/06/2015,Gwent,Wales,Possession of weapons offences,151
30/06/2015,Gwent,Wales,Public order offences,1671
30/06/2015,Gwent,Wales,Residential burglary,
30/06/2015,Gwent,Wales,Robbery,165
30/06/2015,Gwent,Wales,Sexual offences,839
30/06/2015,Gwent,Wales,Shoplifting,3210
30/06/2015,Gwent,Wales,Stalking and harassment,1197
30/06/2015,Gwent,Wales,Theft from the person,210
30/06/2015,Gwent,Wales,Vehicle offences,3477
30/06/2015,Gwent,Wales,Violence with injury,4094
30/06/2015,Gwent,Wales,Violence without injury,3474
30/06/2015,Hampshire,South East,All other theft offences,13406
30/06/2015,Hampshire,South East,Bicycle theft,3651
30/06/2015,Hampshire,South East,Criminal damage and arson,17492
30/06/2015,Hampshire,South East,Death or serious injury caused by illegal driving,15
30/06/2015,Hampshire,South East,Domestic burglary,3736
30/06/2015,Hampshire,South East,Drug offences,4927
30/06/2015,Hampshire,South East,Homicide,13
30/06/2015,Hampshire,South East,Miscellaneous crimes against society,2029
30/06/2015,Hampshire,South East,Non-domestic burglary,7407
30/06/2015,Hampshire,South East,Non-residential burglary,
30/06/2015,Hampshire,South East,Possession of weapons offences,688
30/06/2015,Hampshire,South East,Public order offences,9322
30/06/2015,Hampshire,South East,Residential burglary,
30/06/2015,Hampshire,South East,Robbery,716
30/06/2015,Hampshire,South East,Sexual offences,3827
30/06/2015,Hampshire,South East,Shoplifting,10508
30/06/2015,Hampshire,South East,Stalking and harassment,3227
30/06/2015,Hampshire,South East,Theft from the person,1254
30/06/2015,Hampshire,South East,Vehicle offences,7686
30/06/2015,Hampshire,South East,Violence with injury,15557
30/06/2015,Hampshire,South East,Violence without injury,14903
30/06/2015,Hertfordshire,East,All other theft offences,7444
30/06/2015,Hertfordshire,East,Bicycle theft,1358
30/06/2015,Hertfordshire,East,Criminal damage and arson,8365
30/06/2015,Hertfordshire,East,Death or serious injury caused by illegal driving,8
30/06/2015,Hertfordshire,East,Domestic burglary,3035
30/06/2015,Hertfordshire,East,Drug offences,3328
30/06/2015,Hertfordshire,East,Homicide,8
30/06/2015,Hertfordshire,East,Miscellaneous crimes against society,1286
30/06/2015,Hertfordshire,East,Non-domestic burglary,3337
30/06/2015,Hertfordshire,East,Non-residential burglary,
30/06/2015,Hertfordshire,East,Possession of weapons offences,318
30/06/2015,Hertfordshire,East,Public order offences,2605
30/06/2015,Hertfordshire,East,Residential burglary,
30/06/2015,Hertfordshire,East,Robbery,442
30/06/2015,Hertfordshire,East,Sexual offences,1306
30/06/2015,Hertfordshire,East,Shoplifting,5738
30/06/2015,Hertfordshire,East,Stalking and harassment,1483
30/06/2015,Hertfordshire,East,Theft from the person,1040
30/06/2015,Hertfordshire,East,Vehicle offences,5682
30/06/2015,Hertfordshire,East,Violence with injury,6050
30/06/2015,Hertfordshire,East,Violence without injury,5386
30/06/2015,Humberside,Yorkshire and The Humber,All other theft offences,7756
30/06/2015,Humberside,Yorkshire and The Humber,Bicycle theft,2589
30/06/2015,Humberside,Yorkshire and The Humber,Criminal damage and arson,10423
30/06/2015,Humberside,Yorkshire and The Humber,Death or serious injury caused by illegal driving,11
30/06/2015,Humberside,Yorkshire and The Humber,Domestic burglary,3799
30/06/2015,Humberside,Yorkshire and The Humber,Drug offences,1852
30/06/2015,Humberside,Yorkshire and The Humber,Homicide,12
30/06/2015,Humberside,Yorkshire and The Humber,Miscellaneous crimes against society,879
30/06/2015,Humberside,Yorkshire and The Humber,Non-domestic burglary,6084
30/06/2015,Humberside,Yorkshire and The Humber,Non-residential burglary,
30/06/2015,Humberside,Yorkshire and The Humber,Possession of weapons offences,323
30/06/2015,Humberside,Yorkshire and The Humber,Public order offences,2396
30/06/2015,Humberside,Yorkshire and The Humber,Residential burglary,
30/06/2015,Humberside,Yorkshire and The Humber,Robbery,606
30/06/2015,Humberside,Yorkshire and The Humber,Sexual offences,1720
30/06/2015,Humberside,Yorkshire and The Humber,Shoplifting,7385
30/06/2015,Humberside,Yorkshire and The Humber,Stalking and harassment,886
30/06/2015,Humberside,Yorkshire and The Humber,Theft from the person,470
30/06/2015,Humberside,Yorkshire and The Humber,Vehicle offences,5608
30/06/2015,Humberside,Yorkshire and The Humber,Violence with injury,7333
30/06/2015,Humberside,Yorkshire and The Humber,Violence without injury,5857
30/06/2015,Kent,South East,All other theft offences,14746
30/06/2015,Kent,South East,Bicycle theft,1744
30/06/2015,Kent,South East,Criminal damage and arson,17900
30/06/2015,Kent,South East,Death or serious injury caused by illegal driving,31
30/06/2015,Kent,South East,Domestic burglary,4992
30/06/2015,Kent,South East,Drug offences,2875
30/06/2015,Kent,South East,Homicide,18
30/06/2015,Kent,South East,Miscellaneous crimes against society,1502
30/06/2015,Kent,South East,Non-domestic burglary,6910
30/06/2015,Kent,South East,Non-residential burglary,
30/06/2015,Kent,South East,Possession of weapons offences,439
30/06/2015,Kent,South East,Public order offences,2601
30/06/2015,Kent,South East,Residential burglary,
30/06/2015,Kent,South East,Robbery,962
30/06/2015,Kent,South East,Sexual offences,2730
30/06/2015,Kent,South East,Shoplifting,11459
30/06/2015,Kent,South East,Stalking and harassment,2804
30/06/2015,Kent,South East,Theft from the person,955
30/06/2015,Kent,South East,Vehicle offences,9940
30/06/2015,Kent,South East,Violence with injury,12779
30/06/2015,Kent,South East,Violence without injury,13695
30/06/2015,Lancashire,North West,All other theft offences,12945
30/06/2015,Lancashire,North West,Bicycle theft,2265
30/06/2015,Lancashire,North West,Criminal damage and arson,15879
30/06/2015,Lancashire,North West,Death or serious injury caused by illegal driving,11
30/06/2015,Lancashire,North West,Domestic burglary,4991
30/06/2015,Lancashire,North West,Drug offences,3093
30/06/2015,Lancashire,North West,Homicide,15
30/06/2015,Lancashire,North West,Miscellaneous crimes against society,1159
30/06/2015,Lancashire,North West,Non-domestic burglary,6990
30/06/2015,Lancashire,North West,Non-residential burglary,
30/06/2015,Lancashire,North West,Possession of weapons offences,426
30/06/2015,Lancashire,North West,Public order offences,2135
30/06/2015,Lancashire,North West,Residential burglary,
30/06/2015,Lancashire,North West,Robbery,595
30/06/2015,Lancashire,North West,Sexual offences,2142
30/06/2015,Lancashire,North West,Shoplifting,7998
30/06/2015,Lancashire,North West,Stalking and harassment,1867
30/06/2015,Lancashire,North West,Theft from the person,890
30/06/2015,Lancashire,North West,Vehicle offences,8827
30/06/2015,Lancashire,North West,Violence with injury,11092
30/06/2015,Lancashire,North West,Violence without injury,8868
30/06/2015,Leicestershire,East Midlands,All other theft offences,7481
30/06/2015,Leicestershire,East Midlands,Bicycle theft,2230
30/06/2015,Leicestershire,East Midlands,Criminal damage and arson,8799
30/06/2015,Leicestershire,East Midlands,Death or serious injury caused by illegal driving,5
30/06/2015,Leicestershire,East Midlands,Domestic burglary,4010
30/06/2015,Leicestershire,East Midlands,Drug offences,1622
30/06/2015,Leicestershire,East Midlands,Homicide,10
30/06/2015,Leicestershire,East Midlands,Miscellaneous crimes against society,817
30/06/2015,Leicestershire,East Midlands,Non-domestic burglary,3720
30/06/2015,Leicestershire,East Midlands,Non-residential burglary,
30/06/2015,Leicestershire,East Midlands,Possession of weapons offences,337
30/06/2015,Leicestershire,East Midlands,Public order offences,2115
30/06/2015,Leicestershire,East Midlands,Residential burglary,
30/06/2015,Leicestershire,East Midlands,Robbery,653
30/06/2015,Leicestershire,East Midlands,Sexual offences,1366
30/06/2015,Leicestershire,East Midlands,Shoplifting,5999
30/06/2015,Leicestershire,East Midlands,Stalking and harassment,1447
30/06/2015,Leicestershire,East Midlands,Theft from the person,738
30/06/2015,Leicestershire,East Midlands,Vehicle offences,8156
30/06/2015,Leicestershire,East Midlands,Violence with injury,4812
30/06/2015,Leicestershire,East Midlands,Violence without injury,4775
30/06/2015,Lincolnshire,East Midlands,All other theft offences,4578
30/06/2015,Lincolnshire,East Midlands,Bicycle theft,1261
30/06/2015,Lincolnshire,East Midlands,Criminal damage and arson,5324
30/06/2015,Lincolnshire,East Midlands,Death or serious injury caused by illegal driving,3
30/06/2015,Lincolnshire,East Midlands,Domestic burglary,1789
30/06/2015,Lincolnshire,East Midlands,Drug offences,1706
30/06/2015,Lincolnshire,East Midlands,Homicide,12
30/06/2015,Lincolnshire,East Midlands,Miscellaneous crimes against society,602
30/06/2015,Lincolnshire,East Midlands,Non-domestic burglary,3467
30/06/2015,Lincolnshire,East Midlands,Non-residential burglary,
30/06/2015,Lincolnshire,East Midlands,Possession of weapons offences,268
30/06/2015,Lincolnshire,East Midlands,Public order offences,1368
30/06/2015,Lincolnshire,East Midlands,Residential burglary,
30/06/2015,Lincolnshire,East Midlands,Robbery,182
30/06/2015,Lincolnshire,East Midlands,Sexual offences,1018
30/06/2015,Lincolnshire,East Midlands,Shoplifting,4359
30/06/2015,Lincolnshire,East Midlands,Stalking and harassment,583
30/06/2015,Lincolnshire,East Midlands,Theft from the person,333
30/06/2015,Lincolnshire,East Midlands,Vehicle offences,3062
30/06/2015,Lincolnshire,East Midlands,Violence with injury,3238
30/06/2015,Lincolnshire,East Midlands,Violence without injury,2262
30/06/2015,Merseyside,North West,All other theft offences,11163
30/06/2015,Merseyside,North West,Bicycle theft,1943
30/06/2015,Merseyside,North West,Criminal damage and arson,16498
30/06/2015,Merseyside,North West,Death or serious injury caused by illegal driving,9
30/06/2015,Merseyside,North West,Domestic burglary,6379
30/06/2015,Merseyside,North West,Drug offences,7671
30/06/2015,Merseyside,North West,Homicide,25
30/06/2015,Merseyside,North West,Miscellaneous crimes against society,1528
30/06/2015,Merseyside,North West,Non-domestic burglary,5125
30/06/2015,Merseyside,North West,Non-residential burglary,
30/06/2015,Merseyside,North West,Possession of weapons offences,674
30/06/2015,Merseyside,North West,Public order offences,4365
30/06/2015,Merseyside,North West,Residential burglary,
30/06/2015,Merseyside,North West,Robbery,1089
